# Page 260 Column 1
eot	yacht
eotsmn	yachtsman
a|k	yak
a|m	yam
!	yank
ard	yard
!	yardage
a~|dam	yardarm
a~|dstek	yardstick
a~|n	yarn
e-ol	yawl
a|,	yea
e|r	year
e|rbk	yearbook
e|rl'	yearling
ere	yearly
e~|n	yearn
e|st	yeast

# Page 260 Column 2
e|l	yell
elo	yellow
e-omn	yeoman
e-omnre	yeomanry
es	yes
e|st	yesterday
et	yet
el-d	yield
uneld'	unyielding
e-odl	yodel
e-ok	yolk
u	you
us	yourself
ung	young
unge~	younger
unges	youngest
!	youngish
ungste~	youngster
euth	youth
euth)f	youthful
!	youthfulness
!	ytterbium
!	yttrium

# Page 260 Column 3
eul	yule
eulti	yuletide

